==31774== NVPROF is profiling process 31774, command: python Corr-conv1-benchmark.py
Using gpu device 0: Tesla K40c (CNMeM is disabled)

CONFIG: input = 3 x 128 x 128 * ker = 3 x 96 x 11 x 11 ( bs = 128 , stride = 1 )
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> fprop         ==>     135
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> bprop inputs  ==>     119
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> bprop weights ==>     282
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> TOTAL         ==>     538

==31774== Profiling application: python Corr-conv1-benchmark.py
==31774== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
18.7600s  841.58us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [781]
18.7608s  206.35us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [797]
18.7610s  846.83us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [814]
18.7619s  209.55us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [830]
18.7621s  836.56us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [847]
18.7629s  209.23us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [863]
18.7631s  839.89us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [880]
18.7640s  206.54us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [896]
18.7642s  838.28us            (218 2 1)       (16 16 1)        71  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  sgemm_sm35_ldg_nn_64x16x64x16x16 [913]
18.7650s  207.85us             (82 1 1)       (512 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  im2col_kernel(int, float const *, int, int, int, int, int, int, int, int, int, int, float*) [929]
