==10142== NVPROF is profiling process 10142, command: python Corr-conv2-benchmark.py
==10142== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
Using gpu device 0: Tesla K40c (CNMeM is disabled)

CONFIG: input = 64 x 64 x 64 * ker = 64 x 128 x 9 x 9 ( bs = 128 , stride = 1 )
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> fprop         ==>   70386
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> bprop inputs  ==>   83073
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> bprop weights ==>   45510
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> TOTAL         ==>  198970

==10142== Profiling application: python Corr-conv2-benchmark.py
==10142== Profiling result:
==10142== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","sgemm_sm_heavy_nt_ldg",256,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla K40c (0)","sgemm_sm_heavy_nt_ldg",256,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"Tesla K40c (0)","sgemm_sm_heavy_nt_ldg",256,"gst_efficiency","Global Memory Store Efficiency",25.000000%,25.000000%,25.000000%
"Tesla K40c (0)","sgemm_sm_heavy_nt_ldg",256,"shared_efficiency","Shared Memory Efficiency",168.492655%,168.492655%,168.492655%
"Tesla K40c (0)","sgemm_sm35_ldg_tn_32x16x64x8x16",256,"achieved_occupancy","Achieved Occupancy",0.348607,0.363502,0.354589
"Tesla K40c (0)","sgemm_sm35_ldg_tn_32x16x64x8x16",256,"ipc","Executed IPC",3.665053,3.786349,3.721990
"Tesla K40c (0)","sgemm_sm35_ldg_tn_32x16x64x8x16",256,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla K40c (0)","sgemm_sm35_ldg_tn_32x16x64x8x16",256,"gld_efficiency","Global Memory Load Efficiency",0.000000%,25.000000%,24.804688%
"Tesla K40c (0)","sgemm_sm35_ldg_tn_32x16x64x8x16",256,"gst_efficiency","Global Memory Store Efficiency",25.000000%,25.000000%,25.000000%
"Tesla K40c (0)","sgemm_sm35_ldg_tn_32x16x64x8x16",256,"shared_efficiency","Shared Memory Efficiency",124.994938%,125.004695%,124.998161%
"Tesla K40c (0)","sgemm_sm35_ldg_nn_128x8x128x16x16",256,"achieved_occupancy","Achieved Occupancy",0.211274,0.212101,0.211522
"Tesla K40c (0)","sgemm_sm35_ldg_nn_128x8x128x16x16",256,"ipc","Executed IPC",4.787480,4.856917,4.847595
"Tesla K40c (0)","sgemm_sm35_ldg_nn_128x8x128x16x16",256,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla K40c (0)","sgemm_sm35_ldg_nn_128x8x128x16x16",256,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"Tesla K40c (0)","sgemm_sm35_ldg_nn_128x8x128x16x16",256,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"Tesla K40c (0)","sgemm_sm35_ldg_nn_128x8x128x16x16",256,"shared_efficiency","Shared Memory Efficiency",169.953009%,169.953009%,169.953009%
