==10040== NVPROF is profiling process 10040, command: python Corr-conv1-benchmark.py
==10040== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
Using gpu device 0: Tesla K40c (CNMeM is disabled)

CONFIG: input = 3 x 128 x 128 * ker = 3 x 96 x 11 x 11 ( bs = 128 , stride = 1 )
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> fprop         ==>   68562
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> bprop inputs  ==>  105094
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> bprop weights ==>   58670
(manual) theano.sandbox.cuda.blas.GpuCorrMM        ==> TOTAL         ==>  232327

==10040== Profiling application: python Corr-conv1-benchmark.py
==10040== Profiling result:
==10040== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","sgemm_sm_heavy_nt_ldg",256,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla K40c (0)","sgemm_sm_heavy_nt_ldg",256,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"Tesla K40c (0)","sgemm_sm_heavy_nt_ldg",256,"gst_efficiency","Global Memory Store Efficiency",23.529412%,23.529412%,23.529412%
"Tesla K40c (0)","sgemm_sm_heavy_nt_ldg",256,"shared_efficiency","Shared Memory Efficiency",168.027322%,168.027322%,168.027322%
"Tesla K40c (0)","sgemm_sm35_ldg_nn_64x16x64x16x16",256,"achieved_occupancy","Achieved Occupancy",0.362131,0.366215,0.364209
"Tesla K40c (0)","sgemm_sm35_ldg_nn_64x16x64x16x16",256,"ipc","Executed IPC",4.167285,4.213810,4.189657
"Tesla K40c (0)","sgemm_sm35_ldg_nn_64x16x64x16x16",256,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla K40c (0)","sgemm_sm35_ldg_nn_64x16x64x16x16",256,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"Tesla K40c (0)","sgemm_sm35_ldg_nn_64x16x64x16x16",256,"gst_efficiency","Global Memory Store Efficiency",79.986213%,79.986213%,79.986213%
"Tesla K40c (0)","sgemm_sm35_ldg_nn_64x16x64x16x16",256,"shared_efficiency","Shared Memory Efficiency",153.816811%,153.816811%,153.816811%
"Tesla K40c (0)","sgemm_sm35_ldg_nt_128x16x64x16x16",256,"achieved_occupancy","Achieved Occupancy",0.240180,0.242623,0.241363
"Tesla K40c (0)","sgemm_sm35_ldg_nt_128x16x64x16x16",256,"ipc","Executed IPC",3.194305,3.228227,3.210869
"Tesla K40c (0)","sgemm_sm35_ldg_nt_128x16x64x16x16",256,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla K40c (0)","sgemm_sm35_ldg_nt_128x16x64x16x16",256,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"Tesla K40c (0)","sgemm_sm35_ldg_nt_128x16x64x16x16",256,"gst_efficiency","Global Memory Store Efficiency",80.093677%,80.093677%,80.093677%
"Tesla K40c (0)","sgemm_sm35_ldg_nt_128x16x64x16x16",256,"shared_efficiency","Shared Memory Efficiency",164.399951%,164.399951%,164.399951%
