==6331== NVPROF is profiling process 6331, command: python fft-conv1-benchmark.py
Using gpu device 0: Tesla K40c (CNMeM is disabled)

CONFIG: input = 3 x 128 x 128 * ker = 3 x 96 x 11 x 11 ( bs = 128 , stride = 1 )
theano.sandbox.cuda.fftconv.conv2d_fft             ==> fprop         ==>     189
theano.sandbox.cuda.fftconv.conv2d_fft             ==> bprop inputs  ==>     330
theano.sandbox.cuda.fftconv.conv2d_fft             ==> bprop weights ==>     258
theano.sandbox.cuda.fftconv.conv2d_fft             ==> TOTAL         ==>     778

==6331== Profiling application: python fft-conv1-benchmark.py
==6331== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
19.6353s  207.53us           (1152 1 1)        (16 8 2)        48  9.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0128C::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [967]
19.6355s  202.31us           (2304 1 1)       (16 16 1)        30  5.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spVector0064C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [974]
19.6357s  212.08us           (4608 1 1)       (256 1 1)        23        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::postprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [989]
19.6362s  1.2144ms           (4096 3 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [1009]
19.6382s  4.0464ms                    -               -         -         -         -  780.00MB  188.25GB/s   Tesla K40c (0)         1         7  [CUDA memset]
19.6423s  1.4400us                    -               -         -         -         -       48B  31.789MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
19.8892s  2.8800us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [1061]
19.8897s  2.5280us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [1065]
19.8900s  2.4960us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [1069]
19.8902s  16.251ms           (6 8 8320)         (8 8 1)        64  4.5000KB        0B         -           -   Tesla K40c (0)         1         7  void fermiPlusCgemmLDS128_batched<bool=0, bool=0, bool=0, bool=0, int=4, int=4, int=4, int=3, int=3>(float2**, float2**, float2**, int, int, int, int, int, int, float2 const *, float2 const *, float2, float2, int) [1085]
19.9080s  99.391ms           (128 96 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [1110]
