==6331== NVPROF is profiling process 6331, command: python fft-conv1-benchmark.py
Using gpu device 0: Tesla K40c (CNMeM is disabled)

CONFIG: input = 3 x 128 x 128 * ker = 3 x 96 x 11 x 11 ( bs = 128 , stride = 1 )
theano.sandbox.cuda.fftconv.conv2d_fft             ==> fprop         ==>     189
theano.sandbox.cuda.fftconv.conv2d_fft             ==> bprop inputs  ==>     330
theano.sandbox.cuda.fftconv.conv2d_fft             ==> bprop weights ==>     258
theano.sandbox.cuda.fftconv.conv2d_fft             ==> TOTAL         ==>     778

==6331== Profiling application: python fft-conv1-benchmark.py
==6331== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
20.7521s  3.1370us            (302 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [2125]
20.7523s  2.5920us            (302 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [2129]
20.7524s  2.6240us            (302 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [2133]
20.7525s  13.690ms           (1 8 9660)         (8 8 1)        64  4.5000KB        0B         -           -   Tesla K40c (0)         1         7  void fermiPlusCgemmLDS128_batched<bool=0, bool=0, bool=0, bool=0, int=4, int=4, int=4, int=3, int=3>(float2**, float2**, float2**, int, int, int, int, int, int, float2 const *, float2 const *, float2, float2, int) [2149]
20.7668s  2.4688ms            (128 3 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [2174]
20.7695s  146.79us                    -               -         -         -         -  27.897MB  185.59GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.7697s  1.2480us                    -               -         -         -         -       36B  27.510MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.7708s  348.34us           (7245 1 1)       (256 1 1)        32        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::preprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [2322]
20.7711s  1.0911ms           (3975 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [2327]
20.7722s  319.95us           (4761 1 1)       (256 1 1)        25        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2333]
20.7725s  316.08us           (7142 1 1)       (256 1 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0002A::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2340]
20.7729s  1.1682ms           (3975 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [2346]
20.7740s  311.95us           (4761 1 1)       (256 1 1)        17  3.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel3Tex<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix3_t, unsigned int, float>) [2352]
20.7745s  794.47us             (30 1 1)       (256 1 1)        26        0B        0B         -           -   Tesla K40c (0)         1         7  kernel_Mul_node_f1524bb3d6ca9eb7764cc139ef1e3ac8_0_3(unsigned int, int, int, int, float const *, int, int, int, float const *, int, int, int, float*, int, int, int) [2374]
20.7762s  4.6536ms                    -               -         -         -         -  892.69MB  187.33GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.7808s  122.87ms           (128 96 1)        (32 8 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [2399]
20.9037s  4.7043ms                    -               -         -         -         -  905.63MB  188.00GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.9084s  1.2480us                    -               -         -         -         -       48B  36.680MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.9086s  34.566ms         (127181 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [2410]
20.9432s  11.178ms         (152352 1 1)       (256 1 1)        27        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel1Mem<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_radix1_t, unsigned int, float>) [2415]
20.9544s  10.236ms         (228528 1 1)       (256 1 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0002A::kernel1Mem<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_radix1_t, unsigned int, float>) [2420]
20.9646s  37.161ms         (127181 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [2425]
21.0018s  10.170ms         (152352 1 1)       (256 1 1)        27        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel1Mem<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_radix1_t, unsigned int, float>) [2430]
21.0120s  10.464ms         (231840 1 1)       (256 1 1)        23        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::postprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [2444]
21.0235s  50.233ms         (4096 128 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [2464]
21.0742s  117.45us                    -               -         -         -         -  20.922MB  173.97GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.0743s  7.1050us             (3 96 1)       (11 11 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [2487]
21.0744s  112.58us                    -               -         -         -         -  21.226MB  184.12GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.0745s  1.2480us                    -               -         -         -         -       48B  36.680MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.0746s  821.90us           (2981 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [2498]
21.0755s  258.86us           (3571 1 1)       (256 1 1)        25        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2504]
21.0757s  237.55us           (5357 1 1)       (256 1 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0002A::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2511]
21.0760s  880.11us           (2981 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [2517]
21.0769s  244.91us           (3571 1 1)       (256 1 1)        25        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2523]
21.0771s  244.01us           (5434 1 1)       (256 1 1)        23        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::postprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [2538]
21.0776s  4.6315ms          (4096 96 1)         (3 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [2558]
21.0826s  150.57us                    -               -         -         -         -  28.301MB  183.56GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.0827s  1.2480us                    -               -         -         -         -       48B  36.680MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.0830s  3.1370us            (302 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [2574]
21.0832s  2.5280us            (302 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [2578]
21.0833s  2.5280us            (302 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [2582]
21.0834s  13.689ms           (1 8 9660)         (8 8 1)        64  4.5000KB        0B         -           -   Tesla K40c (0)         1         7  void fermiPlusCgemmLDS128_batched<bool=0, bool=0, bool=0, bool=0, int=4, int=4, int=4, int=3, int=3>(float2**, float2**, float2**, int, int, int, int, int, int, float2 const *, float2 const *, float2, float2, int) [2598]
21.0977s  2.5703ms            (128 3 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [2623]
21.1006s  146.89us                    -               -         -         -         -  27.897MB  185.47GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.1007s  1.2480us                    -               -         -         -         -       36B  27.510MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.1008s  348.56us           (7245 1 1)       (256 1 1)        32        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::preprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [2647]
21.1012s  1.0897ms           (3975 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [2652]
21.1023s  318.99us           (4761 1 1)       (256 1 1)        25        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2658]
21.1026s  315.76us           (7142 1 1)       (256 1 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0002A::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2665]
21.1029s  1.1677ms           (3975 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [2671]
21.1041s  313.39us           (4761 1 1)       (256 1 1)        17  3.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel3Tex<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix3_t, unsigned int, float>) [2677]
21.1046s  793.32us             (30 1 1)       (256 1 1)        26        0B        0B         -           -   Tesla K40c (0)         1         7  kernel_Mul_node_f1524bb3d6ca9eb7764cc139ef1e3ac8_0_3(unsigned int, int, int, int, float const *, int, int, int, float const *, int, int, int, float*, int, int, int) [2699]
21.1554s  1.2480us                    -               -         -         -         -        4B  3.0567MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.1556s  2.4960us                    -               -         -         -         -        4B  1.5283MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
21.1683s     864ns                    -               -         -         -         -        4B  4.4152MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.1684s  2.6560us                    -               -         -         -         -        4B  1.4363MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
21.1856s     864ns                    -               -         -         -         -        4B  4.4152MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.1857s  2.1440us                    -               -         -         -         -        4B  1.7792MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
21.1860s  2.0170us                    -               -         -         -         -        4B  1.8913MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
21.1962s  2.0800us                    -               -         -         -         -        4B  1.8340MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
21.1962s  2.0160us                    -               -         -         -         -        4B  1.8922MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
21.1964s  3.7440us              (1 1 1)         (1 1 1)        13        0B        0B         -           -   Tesla K40c (0)         1         7  kernel_TrueDiv_node_6b09085a223d6288386a6525d5e45be7_0_Ccontiguous(unsigned int, float const *, float const *, float*) [2746]
21.1965s  2.1440us                    -               -         -         -         -        4B  1.7792MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
21.1991s  1.9840us                    -               -         -         -         -        4B  1.9227MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
21.1993s  2.0480us                    -               -         -         -         -        4B  1.8627MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
21.2242s  2.1120us                    -               -         -         -         -        4B  1.8062MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
21.2419s  2.1120us                    -               -         -         -         -        4B  1.8062MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
21.2454s  2.0911ms            (3 128 1)        (32 8 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [2841]
21.2475s  128.62us                    -               -         -         -         -  24.375MB  185.08GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.2477s  1.2480us                    -               -         -         -         -       48B  36.680MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.2491s  275.21us           (1536 1 1)        (16 8 2)        48  9.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0128C::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2929]
21.2494s  270.64us           (3072 1 1)       (16 16 1)        30  5.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spVector0064C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [2936]
21.2496s  280.98us           (6144 1 1)       (256 1 1)        23        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::postprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [2951]
21.2502s  1.3420ms           (4096 3 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [2971]
21.2522s  3.9986ms                    -               -         -         -         -  768.00MB  187.57GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.2562s  105.40ms           (96 128 1)        (32 8 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [2994]
21.3616s  4.0502ms                    -               -         -         -         -  780.00MB  188.07GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.3657s  1.2480us                    -               -         -         -         -       48B  36.680MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.3672s  9.9972ms          (49152 1 1)        (16 8 2)        50  9.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0128C::kernel1Mem<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, L1, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_radix1_t, unsigned int, float>) [3081]
21.3772s  9.1197ms          (98304 1 1)       (16 16 1)        32  5.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spVector0064C::kernelMem<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_t, unsigned int, float>) [3086]
21.3864s  8.8502ms         (196608 1 1)       (256 1 1)        23        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::postprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [3100]
21.3961s  93.729ms         (4096 128 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [3120]
21.4903s  96.645us                    -               -         -         -         -  18.281MB  184.73GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.4904s  1.2480us                    -               -         -         -         -       48B  36.680MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.4907s  2.9120us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [3136]
21.4909s  2.4960us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [3140]
21.4910s  2.4970us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [3144]
21.4911s  11.196ms           (6 1 8320)         (8 8 1)        64  4.5000KB        0B         -           -   Tesla K40c (0)         1         7  void fermiPlusCgemmLDS128_batched<bool=0, bool=0, bool=0, bool=0, int=4, int=4, int=4, int=3, int=3>(float2**, float2**, float2**, int, int, int, int, int, int, float2 const *, float2 const *, float2, float2, int) [3160]
21.5028s  1.1649ms             (3 96 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [3185]
21.5043s  95.686us                    -               -         -         -         -  18.000MB  183.71GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.5044s  1.2480us                    -               -         -         -         -       36B  27.510MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.5055s  268.11us           (4608 1 1)       (256 1 1)        32        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::preprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [3285]
21.5058s  206.57us           (1152 1 1)        (16 8 2)        48  9.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0128C::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=16, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [3291]
21.5060s  204.17us           (2304 1 1)       (16 16 1)        30  5.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spVector0064C::kernelTex<unsigned int, float, fftDirection_t=1, unsigned int=16, unsigned int=4, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [3298]
21.5064s  9.9530us             (30 1 1)       (256 1 1)        26        0B        0B         -           -   Tesla K40c (0)         1         7  kernel_Mul_node_f1524bb3d6ca9eb7764cc139ef1e3ac8_0_3(unsigned int, int, int, int, float const *, int, int, int, float const *, int, int, int, float*, int, int, int) [3320]
21.5067s  2.0580ms            (3 128 1)        (32 8 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [3344]
21.5088s  128.94us                    -               -         -         -         -  24.375MB  184.62GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.5089s  1.2490us                    -               -         -         -         -       48B  36.650MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.5091s  274.99us           (1536 1 1)        (16 8 2)        48  9.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0128C::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [3356]
21.5093s  270.77us           (3072 1 1)       (16 16 1)        30  5.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spVector0064C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [3363]
21.5096s  280.98us           (6144 1 1)       (256 1 1)        23        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::postprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [3378]
21.5102s  1.3412ms           (4096 3 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [3398]
21.5123s  4.0012ms                    -               -         -         -         -  768.00MB  187.44GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.5163s  106.95ms           (96 128 1)        (32 8 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [3421]
21.6232s  4.0495ms                    -               -         -         -         -  780.00MB  188.10GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.6273s  1.2160us                    -               -         -         -         -       48B  37.645MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.6274s  10.045ms          (49152 1 1)        (16 8 2)        50  9.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0128C::kernel1Mem<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, L1, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_radix1_t, unsigned int, float>) [3432]
21.6374s  9.1098ms          (98304 1 1)       (16 16 1)        32  5.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spVector0064C::kernelMem<unsigned int, float, fftDirection_t=-1, unsigned int=16, unsigned int=4, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_t, unsigned int, float>) [3437]
21.6465s  8.8598ms         (196608 1 1)       (256 1 1)        23        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::postprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [3451]
21.6562s  93.579ms         (4096 128 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [3471]
21.7502s  97.382us                    -               -         -         -         -  18.281MB  183.33GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.7503s  1.2480us                    -               -         -         -         -       48B  36.680MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.7507s  3.0730us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [3487]
21.7508s  2.5600us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [3491]
21.7510s  2.5290us            (260 1 1)        (32 1 1)         9        0B        0B         -           -   Tesla K40c (0)         1         7  arange [3495]
21.7510s  11.199ms           (6 1 8320)         (8 8 1)        64  4.5000KB        0B         -           -   Tesla K40c (0)         1         7  void fermiPlusCgemmLDS128_batched<bool=0, bool=0, bool=0, bool=0, int=4, int=4, int=4, int=3, int=3>(float2**, float2**, float2**, int, int, int, int, int, int, float2 const *, float2 const *, float2, float2, int) [3511]
21.7628s  1.1571ms             (3 96 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [3536]
21.7643s  95.365us                    -               -         -         -         -  18.000MB  184.33GB/s   Tesla K40c (0)         1         7  [CUDA memset]
21.7644s  1.2480us                    -               -         -         -         -       36B  27.510MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
21.7645s  268.30us           (4608 1 1)       (256 1 1)        32        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::preprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [3560]
21.7648s  206.67us           (1152 1 1)        (16 8 2)        48  9.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spRadix0128C::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=16, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [3566]
21.7650s  203.27us           (2304 1 1)       (16 16 1)        30  5.0000KB        0B         -           -   Tesla K40c (0)         1         7  void spVector0064C::kernelTex<unsigned int, float, fftDirection_t=1, unsigned int=16, unsigned int=4, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [3573]
21.7653s  10.240us             (30 1 1)       (256 1 1)        26        0B        0B         -           -   Tesla K40c (0)         1         7  kernel_Mul_node_f1524bb3d6ca9eb7764cc139ef1e3ac8_0_3(unsigned int, int, int, int, float const *, int, int, int, float const *, int, int, int, float*, int, int, int) [3595]

Regs: Number of registers used per CUDA thread. This number includes registers used internally by the CUDA driver and/or tools and can be more than what the compiler shows.
SSMem: Static shared memory allocated per CUDA block.
DSMem: Dynamic shared memory allocated per CUDA block.
